epoch,BLEU1,BLEU2,BLEU2s,BLEU3,BLEU3s,BLEU4,BLEU4s,METEOR,R-1R,R-1P,R-1F,R-2R,R-2P,R-2F,R-LR,R-LP,R-LF,jiebaB1,jiebaB2,jiebaB2s,jiebaB3,jiebaB3s,jiebaB4,jiebaB4s,jiebaM,jiebaR-1R,jiebaR-1P,jiebaR-1F,jiebaR-2R,jiebaR-2P,jiebaR-2F,jiebaR-LR,jiebaR-LP,jiebaR-LF,grs
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
